address,spx
0x5cafd5fe2fa8bc67fe264f0c73a3a7d7bb5c7a7d,21251.61034207
0xc25f11c6afcf65eff9a947cefaa4a9c32a2750b4,20634.46577445
0x1a8321056f8cb4106eea5aa7110153c5c97170a6,20331.61223185
0xd000c8366d782d4a70ea14d6c33a0ed46b97d71a,20169.46975558
0x05ea5a944fcd4e12795fc93c4f8628be29cb8959,20053.04746587
0xe1db20a6f3605beaefb50389eb70584d93324ae1,20000.18519977
0x5cd60db7ab383cff6ba0f8e3b1dea9fde82deea0,19823.55857365
0xf865067a5b9672f11af8514440d9111afd05d040,18503.77729516
0x2177334384692952ff4919bb454474fd1a9e1f3e,17784.95882886
0xadd7cd4c09911638aec2e7074145b49de57dd1a7,17637.02593884
0xdb15c3bf8bd1b8ba9616959b363e5fb929c4fb19,17422.51409641
0xa2263d2c803bb6eef53cd8bfa5809a6748ec4413,17174.80936074
0x814c1df10596e865b9d4fc611928f032b0161204,16906.20398711
0x30e08202623dffa5052d6842f11d5c3e1f3587fc,16696.9818708
0x6f0b3a8a7d505d91cf8dd646a98b8149e0d077d3,15955.56397614
0x93dc9d73993a1bd57332327aef70ff789cdc980e,15150
0x44d90247d0d7b5b22da2b6a37d8f7f555618b227,15000
0xddd956c6c0fd92f3177533cacb469a5a3e4dd8d4,14807.56394985
0x241a218703fbdf569bf1e19dbb7a5cb4de6fcffe,14403.62885184
0x1ef85434aaa3e97560246a2eaca7965e0467ea36,14152.45132
0x09425893ea361aea687a55854ee368fce7bba9a9,13844.51055794
0xc8d351472379e6a991595000af793529357330dc,12680.40964929
0xa50eafab9c1f15ffbb00eeb03bdaaa4491ac938c,12062.84801321
0x55bf24736b707f8649313dd6c680b38dd351f37b,12055.07683245
0xcad4279426e869e8096d27719d83d8fe4a96bb87,11918.55654017
0x8b01bbcc755a3f7fa93e263afa463f0731dfd894,11669.01860458
0x3eb201cfdc53820c55611b6f560ac6866bb3546a,11288.65195969
0x52be25f9a8d03523f59f9de682bfcae89ae87051,11000.08281331
0x1cf31bcfd9e681d1b8aee0c539b5c449cf505a3b,10994.03092265
0x2e26da02a74131d8ecd627f1664c25a067275e26,10800
0xecf0a29edebeb94f768ea9e468d4047f92e917b4,10790.84445401
0x6a020272844ae64aa56d2e4d4f2570a9f13f47cb,10298.17216589
0x8b2135f5b8563fb23512b4c08690c570a5c3e88b,10097.20561796
0x5cfd4e2c982a66b32120e43b016f29c21cbe9b7b,10000.67693089
0x18c9eebbeb2f2188aaea9d05230165d4d2246342,10000.21458958
0x6b3ab283947afb581a461770d7c52d47b2624788,10000
0xbee1699f9343aeecbe3f9a9170703a86dacc1000,10000
0xb56accbb1e7b83386bc97e0c65b27895eaec5e0c,10000
0xbf59a6e5703fc315873bb12bdc00410eb3fea143,9862.20333527
0x9c968da4e5fd7b6a4709b993cc21c8ef0eb26f6e,9361.18194738
0xbe345111f4c85a229bac903704a76259a27e5a60,9296.65005947
0x9e139c0cba1538c72d8072e4b1fe090efee6cce0,9046.49285534
0xe98e38bb169d44e8b59327e742c166ac79ab50c0,9031.92565773
0xed98a1f0636e50cbed3059bdbc26457c11921e8e,8660.094
0xeffab6b25e795fee6457d435b143bb86d04595d7,8551.91085478
0x3de73aec76602bab50fe9499d6f230b653e9d619,8401.51197222
0x63e0b3b584631e80a4a2bc515c9941ee9b66ac6f,8153.68253973
0x38ec622b6f3101bc6e3190926a2c2e5134b025f9,7980.91660024
0xbfc4419da901eb7c1bf88c6b94506a267ad23666,7916.16909484
0x8fcb919de359f866591ef24de0834567cb6be1d9,7903.68496532
0x5bd8bdef2e890a19159cfb186b54f7d0b53c0833,7900.86875917
0x2ab17f85abe3d67f7b81b47d94090a5387facfb7,7823.03852484
0xa76e3bec2dd6382d16626f35de8c68f3fa49cd34,7818.04592788
0x3606b10db02d6b709b04b9c40dc827b627baa04a,7774.37963512
0x014de4846c73dfdec261aca6cd9e7db3b9bc3a11,7324.76263736
0x5f0f8d974773a1cdfdb2c4cb8b66f812cb12eb6a,7310.88952431
0x4a534873f48fbf21bb0572f0f72aa13578b0861a,7283.38506979
0xc46f3f28f23ba95a29dad6314353b6a5a4b86b64,7101.19305165
0xcad73c3d61e6f1d84b0cfd3f209db4d483aa188b,7079.08587844
0x264760913662db702eb491addd84488bd48e5a4f,7038.29520218
0xc87560a92dfcdabf183303d4e2636ec69132c0aa,6900
0x10e8f4aa1c393ba4b27389619477a883abb6d08e,6900
0xc7717686248b128afdc7a81e34a312830b7512da,6900
0xb6fa3a90ad56b2af016d72fa6460fccbc8619310,6800
0x326673be50a0bfd48213638a11c8f6e87268c555,6795.264
0x0135b6f14cedcb00f86a881042cea5c1e778b1d3,6661.77191549
0xce15bf33396828ac4a26769d56d49effe3383dcd,6647.65826657
0xecdaf73327b0418c19b06528fa7fda974865399b,6353.91290436
0x5b0f7fc77aa8203ea01b4444ead5383d7b51416c,6283.58083031
0x13f9e2bf5ec2bdfe2fe3fd871b8ac6590e49d55d,6268.05687744
0x17681ae02f9ee53c8138b508810d61a08a70d627,6206.61837198
